key,title,value,comment
HELP_DATA_IMPORT_MAIN,"<b>Type of data</b>","Select the type of data to import:<BR><b>CellRanger output:</b> Cell Ranger produces 3 files for each assay library (<i>barcodes.tsv.gz, features.tsv.gz, matrix.mtx.gz</i>). You may provide those 3 files for RNA, HTO and ADT according to the assay you used.<BR><b>Seurat R Object (*.rds)</b>: When using the R package <i>Seurat</i>, you can export an R object into an RDS file and load it in ShIVA.<b>ShIVA Project</b>:Import a project created with ShIVA. Two modes exist: either import a former project that has been automatically saved during your previous analysis or import a project you exported to your local machine (RDS file).",""
HELP_DATA_IMPORT_RNA,"<b>Import CellRanger Files</b>","Select all together the 3 Cell Ranger output files (<i>barcodes.tsv.gz, features.tsv.gz,matrix.mtx.gz</i>) for RNA library.",""
HELP_DATA_IMPORT_HTO,"<b>Import HTO Files</b>","Select all together the 3 Cell Ranger output files (<i>barcodes.tsv.gz, features.tsv.gz,matrix.mtx.gz</i>) for HTO library.",""
HELP_DATA_IMPORT_ADT,"<b>Import ADT Files</b>","Select all together the 3 Cell Ranger output files (<i>barcodes.tsv.gz, features.tsv.gz,matrix.mtx.gz</i>) for ADT library.",""
HELP_IDENTICAL_CELLS,"<b>Number of identical cells</b>","The Venn diagram shows the intersection of the cellular barcodes lists retrieved accross the loaded libraries. Only the barcodes in all libraries will be kept for analysis",""
HELP_DATA_IMPORT_SEURAT,"<b>Import Seurat .rds Files</b>","Select an RDS file containing the export of an object created with the R package <i>Seurat</i>",""
HELP_DATA_IMPORT_FORMER,"<b>Choose former project</b>","You can load one of your previous projects that was automatically saved.",""
HELP_DATA_IMPORT_SHIVA,"<b>Import ShIVA .rds File</b>","You can load one of you previous projects you saved to your local computer.",""
HELP_CREATE_PROJECT,"<b>Parameters to Create Project</b>","Enter the parameters to create your project:<BR><BR><b>Project name</b>: Choose a name that will be unique for your project.<BR><BR><b>Select species</b>: Choose the sample species. This parameters has an effect only on the default lists of gene in the 'Gene Lists' module.<BR><BR><b>Select normalization method</b>:Select the normalization method of your choice. <i>Log normalization</i> normalizes each cell individually while <i>SCtransform</i> normalizes cells as a group.<BR><BR><b>Include features detected in at least this many cells</b>:The genes that have a positive expression in less than the indicated number of cells will be removed from the analysis.<BR><BR><b>Include cells where at least this many features are detected</b>:The cellular barcodes that have a positive expression for less than the indicated number of genes will be removed from the analysis.<BR><BR><b>Important note</b>: In case of <i>feature barcoding</i> assays, if your data contains a single antibody capture assay, a dropdown-menu appears above the first table to let you indicate if it is an HTO or an ADT assay.",""
HELP_CREATE_PROJECT_SEURAT,"<b>Parameters to Create Project</b>","",""
